TERM	SYMBOL	CATEGORY	LIST
DLBCL	RBM38		Compendium
DLBCL	RHOA		Compendium
DLBCL	SGK1		Compendium
DLBCL	SOCS1		Compendium
DLBCL	SPEN		Compendium
DLBCL	STAT3		Compendium
DLBCL	STAT6		Compendium
DLBCL	TBL1XR1		Compendium
DLBCL	TBX3		Compendium
DLBCL	TNFAIP3		Compendium
DLBCL	TNFRSF14		Compendium
DLBCL	TP53		Compendium
DLBCL	UBE2A		Compendium
DLBCL	UBR5		Compendium
DLBCL	XPO1		Compendium
DLBCL	ZFHX3		Compendium
EPD	PIK3CA		Compendium
ESCA	ABCB1		Compendium
ESCA	ABI1		Compendium
ESCA	APC		Compendium
ESCA	ARID1A		Compendium
ESCA	ARID2		Compendium
ESCA	ASXL1		Compendium
ESCA	ATM		Compendium
ESCA	AXIN1		Compendium
ESCA	BAP1		Compendium
ESCA	BIRC6		Compendium
ESCA	CDH11		Compendium
ESCA	CDKN2A		Compendium
ESCA	CDX2		Compendium
ESCA	CREBBP		Compendium
ESCA	DCC		Compendium
ESCA	EML4		Compendium
ESCA	EP300		Compendium
ESCA	EPHA3		Compendium
ESCA	ERBB2		Compendium
ESCA	ERBB4		Compendium
ESCA	FAM135B		Compendium
ESCA	FAT1		Compendium
ESCA	FAT3		Compendium
ESCA	FAT4		Compendium
ESCA	FBXW7		Compendium
ESCA	GNAS		Compendium
ESCA	HIST1H3B		Compendium
ESCA	HLA-B		Compendium
ESCA	HOXD13		Compendium
ESCA	IL7R		Compendium
ESCA	KAT6A		Compendium
ESCA	KDM6A		Compendium
ESCA	KMT2A		Compendium
ESCA	KMT2C		Compendium
ESCA	KMT2D		Compendium
ESCA	KRAS		Compendium
ESCA	LRP1B		Compendium
ESCA	MSN		Compendium
ESCA	MYH9		Compendium
ESCA	NBEA		Compendium
ESCA	NCOR2		Compendium
ESCA	NFE2L2		Compendium
ESCA	NIPBL		Compendium
ESCA	NOTCH1		Compendium
ESCA	NOTCH2		Compendium
ESCA	NSD1		Compendium
ESCA	NTRK3		Compendium
ESCA	PBRM1		Compendium
ESCA	PIK3CA		Compendium
ESCA	PREX2		Compendium
ESCA	PTCH1		Compendium
ESCA	PTEN		Compendium
ESCA	PTPRD		Compendium
ESCA	PTPRT		Compendium
ESCA	RAP1GDS1		Compendium
ESCA	RB1		Compendium
ESCA	RNF213		Compendium
ESCA	RNF43		Compendium
ESCA	SETD1B		Compendium
ESCA	SMAD4		Compendium
ESCA	SMARCA4		Compendium
ESCA	TBX3		Compendium
ESCA	TGFBR2		Compendium
ESCA	TLL1		Compendium
ESCA	TP53		Compendium
ESCA	TRRAP		Compendium
ESCA	WT1		Compendium
ESCA	ZBTB16		Compendium
ESCA	ZNF148		Compendium
ESCA	ZNF208		Compendium
ESCA	ZNF521		Compendium
EWS	BCOR		Compendium
EWS	EWSR1		Compendium
EWS	EZH2		Compendium
EWS	KMT2C		Compendium
EWS	SETD2		Compendium
EWS	STAG2		Compendium
EWS	TP53		Compendium
GBM	ARID1A		Compendium
GBM	ATRX		Compendium
GBM	AXIN1		Compendium
GBM	BCL11B		Compendium
GBM	BCOR		Compendium
GBM	BRAF		Compendium
GBM	CACNA1D		Compendium
GBM	CDKN2A		Compendium
GBM	COL1A1		Compendium
GBM	CUX1		Compendium
GBM	DCAF12L2		Compendium
GBM	EGFR		Compendium
GBM	FANCC		Compendium
GBM	FAT4		Compendium
GBM	FGFR4		Compendium
GBM	IDH1		Compendium
GBM	KMT2D		Compendium
GBM	LRP1B		Compendium
GBM	LZTR1		Compendium
GBM	MAP3K1		Compendium
GBM	MED12		Compendium
GBM	MYCN		Compendium
GBM	NF1		Compendium
GBM	NRAS		Compendium
GBM	PDGFRA		Compendium
GBM	PIK3CA		Compendium
GBM	PIK3CB		Compendium
GBM	PIK3R1		Compendium
GBM	PTEN		Compendium
GBM	PTPN11		Compendium
GBM	RB1		Compendium
GBM	SMO		Compendium
GBM	STAG2		Compendium
GBM	TET1		Compendium
GBM	TP53		Compendium
HBC	CTNNB1		Compendium
HC	ABL1		Compendium
HC	ACVR2A		Compendium
HC	ALB		Compendium
HC	ALK		Compendium
HC	APC		Compendium
HC	ARID1A		Compendium
HC	ARID1B		Compendium
HC	ARID2		Compendium
HC	ATM		Compendium
HC	AXIN1		Compendium
HC	AXIN2		Compendium
HC	BAP1		Compendium
HC	BIRC6		Compendium
HC	BRD7		Compendium
HC	CACNA1D		Compendium
HC	CAMTA1		Compendium
HC	CARD11		Compendium
HC	CDH11		Compendium
HC	CDKN1A		Compendium
HC	CDKN1B		Compendium
HC	CDKN2A		Compendium
HC	CLTC		Compendium
HC	CLTCL1		Compendium
HC	CREBBP		Compendium
HC	CTNNB1		Compendium
HC	DHX9		Compendium
HC	DNMT3A		Compendium
HC	EP300		Compendium
HC	FAT1		Compendium
